r	U
8,22	-0,000915841
8,23	-0,000908105
8,24	-0,000900443
8,25	-0,000892854
8,26	-0,000885339
8,27	-0,000877896
8,28	-0,000870524
8,29	-0,000863223
8,3	-0,000855991
8,31	-0,000848829
8,32	-0,000841735
8,33	-0,000834708
8,34	-0,000827749
8,35	-0,000820855
8,36	-0,000814027
8,37	-0,000807264
8,38	-0,000800565
8,39	-0,000793929
8,4	-0,000787356
8,41	-0,000780845
8,42	-0,000774396
8,43	-0,000768007
8,44	-0,000761678
8,45	-0,000755409
8,46	-0,000749198
8,47	-0,000743046
8,48	-0,000736951
8,49	-0,000730914
8,5	-0,000724933
8,51	-0,000719007
8,52	-0,000713137
8,53	-0,000707322
8,54	-0,00070156
8,55	-0,000695852
8,56	-0,000690197
8,57	-0,000684595
8,58	-0,000679044
8,59	-0,000673545
8,6	-0,000668096
8,61	-0,000662698
8,62	-0,000657349
8,63	-0,00065205
8,64	-0,000646799
8,65	-0,000641597
8,66	-0,000636442
8,67	-0,000631335
8,68	-0,000626274
8,69	-0,000621259
8,7	-0,000616291
8,71	-0,000611367
8,72	-0,000606489
8,73	-0,000601655
8,74	-0,000596865
8,75	-0,000592118
8,76	-0,000587414
8,77	-0,000582753
8,78	-0,000578135
8,79	-0,000573558
8,8	-0,000569022
8,81	-0,000564527
8,82	-0,000560073
8,83	-0,000555658
8,84	-0,000551284
8,85	-0,000546949
8,86	-0,000542652
8,87	-0,000538394
8,88	-0,000534174
8,89	-0,000529992
8,9	-0,000525848
8,91	-0,00052174
8,92	-0,000517669
8,93	-0,000513634
8,94	-0,000509635
8,95	-0,000505671
8,96	-0,000501743
8,97	-0,000497849
8,98	-0,00049399
8,99	-0,000490165
9	-0,000486374
9,01	-0,000482616
9,02	-0,000478891
9,03	-0,0004752
9,04	-0,00047154
9,05	-0,000467913
9,06	-0,000464318
9,07	-0,000460754
9,08	-0,000457221
9,09	-0,000453719
9,1	-0,000450248
9,11	-0,000446807
9,12	-0,000443396
9,13	-0,000440015
9,14	-0,000436663
9,15	-0,00043334
9,16	-0,000430046
9,17	-0,000426781
9,18	-0,000423544
9,19	-0,000420335
9,2	-0,000417154
9,21	-0,000414
9,22	-0,000410874
9,23	-0,000407774
9,24	-0,000404701
9,25	-0,000401654
9,26	-0,000398634
9,27	-0,000395639
9,28	-0,000392671
9,29	-0,000389727
9,3	-0,000386809
9,31	-0,000383916
9,32	-0,000381047
9,33	-0,000378203
9,34	-0,000375383
9,35	-0,000372587
9,36	-0,000369815
9,37	-0,000367066
9,38	-0,000364341
9,39	-0,000361638
9,4	-0,000358959
9,41	-0,000356302
9,42	-0,000353668
9,43	-0,000351056
9,44	-0,000348465
9,45	-0,000345897
9,46	-0,00034335
9,47	-0,000340825
9,48	-0,000338321
9,49	-0,000335838
9,5	-0,000333376
9,51	-0,000330934
9,52	-0,000328512
9,53	-0,000326111
9,54	-0,00032373
9,55	-0,000321369
9,56	-0,000319027
9,57	-0,000316705
9,58	-0,000314402
9,59	-0,000312118
9,6	-0,000309854
9,61	-0,000307607
9,62	-0,00030538
9,63	-0,000303171
9,64	-0,00030098
9,65	-0,000298807
9,66	-0,000296652
9,67	-0,000294515
9,68	-0,000292395
9,69	-0,000290293
9,7	-0,000288208
9,71	-0,00028614
9,72	-0,000284089
9,73	-0,000282055
9,74	-0,000280038
9,75	-0,000278037
9,76	-0,000276052
9,77	-0,000274083
9,78	-0,000272131
9,79	-0,000270194
9,8	-0,000268273
9,81	-0,000266367
9,82	-0,000264477
9,83	-0,000262603
9,84	-0,000260743
9,85	-0,000258899
9,86	-0,000257069
9,87	-0,000255254
9,88	-0,000253454
9,89	-0,000251668
9,9	-0,000249897
9,91	-0,00024814
9,92	-0,000246397
9,93	-0,000244668
9,94	-0,000242952
9,95	-0,000241251
9,96	-0,000239563
9,97	-0,000237889
9,98	-0,000236227
9,99	-0,00023458
10	-0,000232945
10,01	-0,000231323
10,02	-0,000229714
10,03	-0,000228118
10,04	-0,000226535
10,05	-0,000224964
10,06	-0,000223405
10,07	-0,000221859
10,08	-0,000220325
10,09	-0,000218803
10,1	-0,000217294
10,11	-0,000215796
10,12	-0,00021431
10,13	-0,000212835
10,14	-0,000211372
10,15	-0,000209921
10,16	-0,000208481
10,17	-0,000207052
10,18	-0,000205634
10,19	-0,000204228
10,2	-0,000202832
10,21	-0,000201448
10,22	-0,000200074
10,23	-0,00019871
10,24	-0,000197358
10,25	-0,000196016
10,26	-0,000194684
10,27	-0,000193363
10,28	-0,000192052
10,29	-0,000190751
10,3	-0,00018946
10,31	-0,000188179
10,32	-0,000186908
10,33	-0,000185647
10,34	-0,000184395
10,35	-0,000183153
10,36	-0,000181921
10,37	-0,000180698
10,38	-0,000179484
10,39	-0,00017828
10,4	-0,000177085
10,41	-0,000175899
10,42	-0,000174722
10,43	-0,000173555
10,44	-0,000172396
10,45	-0,000171246
10,46	-0,000170104
10,47	-0,000168972
10,48	-0,000167848
10,49	-0,000166732
10,5	-0,000165625
10,51	-0,000164526
10,52	-0,000163436
10,53	-0,000162354
10,54	-0,00016128
10,55	-0,000160214
10,56	-0,000159156
10,57	-0,000158107
10,58	-0,000157065
10,59	-0,000156031
10,6	-0,000155004
10,61	-0,000153986
10,62	-0,000152975
10,63	-0,000151972
10,64	-0,000150976
10,65	-0,000149987
10,66	-0,000149006
10,67	-0,000148033
10,68	-0,000147066
10,69	-0,000146107
10,7	-0,000145155
10,71	-0,00014421
10,72	-0,000143272
10,73	-0,000142341
10,74	-0,000141417
10,75	-0,000140499
10,76	-0,000139589
10,77	-0,000138685
10,78	-0,000137788
10,79	-0,000136898
10,8	-0,000136014
10,81	-0,000135136
10,82	-0,000134265
10,83	-0,000133401
10,84	-0,000132543
10,85	-0,000131691
10,86	-0,000130845
10,87	-0,000130006
10,88	-0,000129173
10,89	-0,000128345
10,9	-0,000127524
10,91	-0,000126709
10,92	-0,0001259
10,93	-0,000125097
10,94	-0,000124299
10,95	-0,000123508
10,96	-0,000122722
10,97	-0,000121942
10,98	-0,000121167
10,99	-0,000120398
11	-0,000119635
11,01	-0,000118877
11,02	-0,000118125
11,03	-0,000117378
11,04	-0,000116636
11,05	-0,0001159
11,06	-0,000115169
11,07	-0,000114444
11,08	-0,000113723
11,09	-0,000113008
11,1	-0,000112298
11,11	-0,000111593
11,12	-0,000110893
11,13	-0,000110198
11,14	-0,000109509
11,15	-0,000108824
11,16	-0,000108143
11,17	-0,000107468
11,18	-0,000106798
11,19	-0,000106132
11,2	-0,000105471
11,21	-0,000104815
11,22	-0,000104163
11,23	-0,000103516
11,24	-0,000102874
11,25	-0,000102236
11,26	-0,000101603
11,27	-0,000100974
11,28	-0,00010035
11,29	-9,97297E-05
11,3	-9,91141E-05
11,31	-9,85028E-05
11,32	-9,78958E-05
11,33	-9,72932E-05
11,34	-9,66947E-05
11,35	-9,61004E-05
11,36	-9,55103E-05
11,37	-9,49244E-05
11,38	-9,43426E-05
11,39	-9,37648E-05
11,4	-9,3191E-05
11,41	-9,26213E-05
11,42	-9,20556E-05
11,43	-9,14937E-05
11,44	-9,09358E-05
11,45	-9,03818E-05
11,46	-8,98317E-05
11,47	-8,92853E-05
11,48	-8,87428E-05
11,49	-8,8204E-05
11,5	-8,7669E-05
11,51	-8,71376E-05
11,52	-8,661E-05
11,53	-8,60859E-05
11,54	-8,55655E-05
11,55	-8,50487E-05
11,56	-8,45355E-05
11,57	-8,40258E-05
11,58	-8,35196E-05
11,59	-8,30169E-05
11,6	-8,25176E-05
11,61	-8,20218E-05
11,62	-8,15293E-05
11,63	-8,10403E-05
11,64	-8,05545E-05
11,65	-8,00721E-05
11,66	-7,95931E-05
11,67	-7,91172E-05
11,68	-7,86447E-05
11,69	-7,81753E-05
11,7	-7,77092E-05
11,71	-7,72462E-05
11,72	-7,67863E-05
11,73	-7,63296E-05
11,74	-7,5876E-05
11,75	-7,54255E-05
11,76	-7,4978E-05
11,77	-7,45336E-05
11,78	-7,40921E-05
11,79	-7,36537E-05
11,8	-7,32182E-05
11,81	-7,27857E-05
11,82	-7,2356E-05
11,83	-7,19293E-05
11,84	-7,15054E-05
11,85	-7,10844E-05
11,86	-7,06662E-05
11,87	-7,02508E-05
11,88	-6,98383E-05
11,89	-6,94284E-05
11,9	-6,90214E-05
11,91	-6,8617E-05
11,92	-6,82154E-05
11,93	-6,78164E-05
11,94	-6,74201E-05
11,95	-6,70264E-05
11,96	-6,66354E-05
11,97	-6,6247E-05
11,98	-6,58611E-05
11,99	-6,54779E-05
12	-6,50971E-05
12,01	-6,47189E-05
12,02	-6,43432E-05
12,03	-6,397E-05
12,04	-6,35993E-05
12,05	-6,3231E-05
12,06	-6,28652E-05
12,07	-6,25017E-05
12,08	-6,21407E-05
12,09	-6,1782E-05
12,1	-6,14257E-05
12,11	-6,10718E-05
12,12	-6,07202E-05
12,13	-6,03709E-05
12,14	-6,00239E-05
12,15	-5,96791E-05
12,16	-5,93367E-05
12,17	-5,89964E-05
12,18	-5,86584E-05
12,19	-5,83227E-05
12,2	-5,79891E-05
12,21	-5,76576E-05
12,22	-5,73284E-05
12,23	-5,70013E-05
12,24	-5,66763E-05
12,25	-5,63534E-05
12,26	-5,60327E-05
12,27	-5,5714E-05
12,28	-5,53974E-05
12,29	-5,50828E-05
12,3	-5,47703E-05
12,31	-5,44598E-05
12,32	-5,41513E-05
12,33	-5,38449E-05
12,34	-5,35404E-05
12,35	-5,32378E-05
12,36	-5,29372E-05
12,37	-5,26386E-05
12,38	-5,23418E-05
12,39	-5,2047E-05
12,4	-5,17541E-05
12,41	-5,14631E-05
12,42	-5,11739E-05
12,43	-5,08866E-05
12,44	-5,06011E-05
12,45	-5,03175E-05
12,46	-5,00356E-05
12,47	-4,97556E-05
12,48	-4,94774E-05
12,49	-4,92009E-05
12,5	-4,89262E-05
12,51	-4,86532E-05
12,52	-4,8382E-05
12,53	-4,81125E-05
12,54	-4,78448E-05
12,55	-4,75787E-05
12,56	-4,73143E-05
12,57	-4,70516E-05
12,58	-4,67906E-05
12,59	-4,65312E-05
12,6	-4,62735E-05
12,61	-4,60173E-05
12,62	-4,57629E-05
12,63	-4,551E-05
12,64	-4,52587E-05
12,65	-4,5009E-05
12,66	-4,47608E-05
12,67	-4,45143E-05
12,68	-4,42692E-05
12,69	-4,40258E-05
12,7	-4,37838E-05
12,71	-4,35434E-05
12,72	-4,33044E-05
12,73	-4,3067E-05
12,74	-4,28311E-05
12,75	-4,25966E-05
12,76	-4,23636E-05
12,77	-4,2132E-05
12,78	-4,19019E-05
12,79	-4,16733E-05
12,8	-4,1446E-05
12,81	-4,12202E-05
12,82	-4,09958E-05
12,83	-4,07728E-05
12,84	-4,05511E-05
12,85	-4,03308E-05
12,86	-4,01119E-05
12,87	-3,98944E-05
12,88	-3,96782E-05
12,89	-3,94633E-05
12,9	-3,92498E-05
12,91	-3,90376E-05
12,92	-3,88267E-05
12,93	-3,86171E-05
12,94	-3,84088E-05
12,95	-3,82018E-05
12,96	-3,7996E-05
12,97	-3,77915E-05
12,98	-3,75883E-05
12,99	-3,73863E-05
13	-3,71856E-05
13,01	-3,6986E-05
13,02	-3,67878E-05
13,03	-3,65907E-05
13,04	-3,63948E-05
13,05	-3,62001E-05
13,06	-3,60066E-05
13,07	-3,58143E-05
13,08	-3,56232E-05
13,09	-3,54332E-05
13,1	-3,52444E-05
13,11	-3,50568E-05
13,12	-3,48702E-05
13,13	-3,46849E-05
13,14	-3,45006E-05
13,15	-3,43174E-05
13,16	-3,41354E-05
13,17	-3,39545E-05
13,18	-3,37746E-05
13,19	-3,35959E-05
13,2	-3,34182E-05
13,21	-3,32416E-05
13,22	-3,30661E-05
13,23	-3,28916E-05
13,24	-3,27182E-05
13,25	-3,25458E-05
13,26	-3,23745E-05
13,27	-3,22042E-05
13,28	-3,20349E-05
13,29	-3,18666E-05
13,3	-3,16993E-05
